id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
165, Maruti , Maruti Alto,2019,399999,8898,1st Owner,Petrol,13333,VXI Manual
166, MG , MG HECTOR,2019,1679699,37364,1st Owner,Diesel,38726,SHARP 2.0 DIESEL Manual
167, Volkswagen , Volkswagen Ameo,2016,501799,11162,1st Owner,Petrol,30635,HIGHLINE 1.2 Manual
168, Maruti , Maruti Baleno,2017,651199,14486,1st Owner,Petrol,29328,ALPHA 1.2 K12 Manual
169, Ford , Ford Ecosport,2019,840799,18703,2nd Owner,Petrol,7380,TREND + 1.5 TI VCT AT Automatic
170, Tata , Tata Hexa,2018,1119999,24914,1st Owner,Diesel,91825,Varicor 400 XT Manual
171, Hyundai , Hyundai i,2015,609599,13560,1st Owner,Diesel,71869,1.4 SX Manual
172, Maruti , Maruti Baleno,2017,664499,14781,1st Owner,Petrol,39028,ALPHA 1.2 K12 Manual
173, Hyundai , Hyundai i,2015,581299,12931,1st Owner,Diesel,143492,1.4 SX Manual
174, Maruti , Maruti Dzire,2017,662199,14730,1st Owner,Diesel,107368,VDI Manual
175, Hyundai , Hyundai Creta,2018,1330799,29603,1st Owner,Diesel,57341,1.6 SX AT CRDI Automatic
176, Honda , Honda Civic,2019,1669699,37142,1st Owner,Petrol,30026,ZX CVT PETROL Automatic
177, Maruti , Maruti Alto K,2018,420399,9352,1st Owner,Petrol,12709,VXI Manual
178, Ford , Ford Ecosport,2018,847599,18854,1st Owner,Diesel,69796,1.5 TDCI TITANIUM PLUS Manual
179, Hyundai , Hyundai i,2017,729399,16225,1st Owner,Petrol,21416,1.2 SX Manual
180, Hyundai , Hyundai Verna,2018,1164199,25897,1st Owner,Petrol,8856,1.6 SX VTVT AT (O) Automatic
181, Honda , Honda WR-V,2018,878399,19540,1st Owner,Petrol,15414,1.2 i-VTEC VX MT Manual
182, Hyundai , Hyundai Verna,2018,1110099,24694,1st Owner,Petrol,15953,1.6 SX VTVT AT (O) Automatic
183, Maruti , Maruti Baleno,2018,689599,15340,2nd Owner,Petrol,33893,ALPHA 1.2 K12 Manual
184, Maruti , Maruti Baleno,2019,810999,18040,1st Owner,Petrol,8544,ALPHA 1.2 K12 Manual
185, KIA , KIA SELTOS,2020,1911499,42520,1st Owner,Petrol,26650,1.4 GTX+ TURBO GDI PETROL AT Automatic
186, Maruti , Maruti Baleno,2017,656099,14595,1st Owner,Petrol,46880,ALPHA 1.2 K12 Manual
187, KIA , KIA SELTOS,2020,1911499,42520,1st Owner,Petrol,11207,1.4 GTX+ TURBO GDI PETROL AT Automatic
188, Ford , Ford Ecosport,2018,792199,17622,1st Owner,Petrol,40807,1.5 TITANIUM PLUS TI VCT AT Automatic
189, Ford , Ford Ecosport,2017,759099,16886,2nd Owner,Petrol,53135,1.5 TITANIUM TI VCT AT Automatic
190, Ford , Ford Ecosport,2017,901699,20058,1st Owner,Petrol,32505,1.5 TITANIUM PLUS TI VCT AT Automatic
191, Toyota , Toyota Glanza,2019,749999,16683,1st Owner,Petrol,44394,G CVT Automatic
192, Hyundai , Hyundai Verna,2018,1023299,22763,1st Owner,Petrol,60463,1.6 SX VTVT AT (O) Automatic
193, Toyota , Toyota Glanza,2019,827699,18412,1st Owner,Petrol,32985,V CVT Automatic
194, Jeep , Jeep Compass,2019,1698199,37775,2nd Owner,Petrol,30583,1.4 LIMITED PLUS AT Automatic
195, Maruti , Maruti IGNIS,2017,500999,11144,2nd Owner,Petrol,31920,ZETA 1.2 K12 AMT Automatic
196, Honda , Honda WR-V,2018,889299,19782,1st Owner,Diesel,66878,1.5 i-DTEC VX MT Manual
197, Honda , Honda BR-V,2016,700299,15578,1st Owner,Petrol,84427,1.5 i-VTEC V CVT Automatic
198, Hyundai , Hyundai Creta,2015,970399,21586,2nd Owner,Diesel,31255,1.6 SX CRDI Manual
199, Maruti , Maruti Baleno,2018,659499,14670,1st Owner,Petrol,16093,DELTA 1.2 K12 Manual
200, Maruti , Maruti Wagon R ,2014,351099,7810,1st Owner,Petrol,23640,LXI Manual
201, Maruti , Maruti Wagon R ,2016,430499,9576,1st Owner,Petrol,9073,VXI AMT Automatic
202, Hyundai , Hyundai Eon,2013,252599,5619,1st Owner,Petrol,12171,D LITE Manual
203, Toyota , Toyota Fortuner,2013,1348299,29992,3rd Owner,Diesel,81829,3.0 AT 4X2 Automatic
204, Maruti , Maruti Alto ,2015,297099,6609,1st Owner,Petrol,11184,LXI Manual
205, Maruti , Maruti Ritz,2013,384399,8551,1st Owner,Petrol,13858,ZXI Manual
206, Maruti , Maruti Ertiga,2019,1104999,24580,1st Owner,Petrol,27724,ZXI SMART HYBRID AT Automatic
207, Hyundai , Hyundai i,2014,411599,9156,2nd Owner,Petrol,9249,ASTA 1.2 Manual
208, Hyundai , Hyundai Grand i,2017,465799,10361,1st Owner,Diesel,32953,magna 1.2 crdi Manual
209, Hyundai , Hyundai Grand i,2018,475699,10582,1st Owner,Petrol,17176,MAGNA 1.2 VTVT Manual
210, BMW , BMW ,2012,859499,19119,1st Owner,Diesel,77100,320D Automatic
211, Renault , Renault TRIBER,2019,659699,14675,1st Owner,Petrol,5248,1.0 RXT Manual
212, Volkswagen , Volkswagen Polo,2014,426499,9487,1st Owner,Petrol,56987,HIGHLINE1.2L PETROL Manual
213, Maruti , Maruti Baleno,2016,511899,11387,2nd Owner,Petrol,58181,DELTA 1.2 K12 Manual
214, Hyundai , Hyundai i,2011,309299,6880,2nd Owner,Petrol,56248,SPORTZ 1.2 O Manual
215, Hyundai , Hyundai Elite i,2017,610099,13571,1st Owner,Petrol,5305,SPORTZ 1.2 Manual
216, Maruti , Maruti Swift Dzire,2012,464499,10333,1st Owner,Diesel,54393,VDI BS IV Manual
217, Maruti , Maruti New  Wagon-R,2019,549999,12234,1st Owner,Petrol,14787,1.0 VXI (O) Manual
218, Volkswagen , Volkswagen Polo,2014,574499,12779,1st Owner,Petrol,25101,GT TSI 1.2 PETROL AT Automatic
219, Maruti , Maruti Swift,2018,594099,13215,2nd Owner,Petrol,34148,VXI AMT Automatic
220, Hyundai , Hyundai Elite i,2016,451799,10050,2nd Owner,Petrol,68040,MAGNA 1.2 Manual
221, Hyundai , Hyundai Grand i,2018,508173,11304,1st Owner,Petrol,8849,SPORTZ O 1.2 Manual
222, Maruti , Maruti Celerio,2016,431999,9610,2nd Owner,Petrol,20699,ZXI OPT AMT Automatic
223, Hyundai , Hyundai Grand i,2015,460599,10246,1st Owner,Petrol,22793,SPORTZ 1.2 KAPPA VTVT Manual
224, Maruti , Maruti Swift,2015,418499,9309,1st Owner,Petrol,55941,VXI Manual
225, Hyundai , Hyundai Grand i,2016,410299,9127,2nd Owner,Petrol,54381,Magna 1.2 AT  VTVT Automatic
